# TKL Keyboard Matrix Layout
# Standard ANSI TKL (Tenkeyless) Layout
# Row,Column,Key Name,Physical Position

# Row 0 - Number Row (Esc, F1-F12, ~, 1-0, -, =, Backspace)
0,0,ESC,Top Left
0,1,F1,F1
0,2,F2,F2
0,3,F3,F3
0,4,F4,F4
0,5,F5,F5
0,6,F6,F6
0,7,F7,F7
0,8,F8,F8
0,9,F9,F9
0,10,F10,F10
0,11,F11,F11
0,12,F12,F12
0,13,GRAVE,Grave/Accent
0,14,KP_1,1
0,15,KP_2,2
0,16,KP_3,3
0,17,KP_4,4
0,18,KP_5,5
0,19,KP_6,6
0,20,KP_7,7
0,21,KP_8,8
0,22,KP_9,9
0,23,KP_0,0
0,24,MINUS,Minus
0,25,EQUAL,Equal
0,26,BKSP,Backspace

# Row 1 - QWERTY Row (Tab, Q-P, [, ], \)
1,0,TAB,Tab
1,1,Q,Q
1,2,W,W
1,3,E,E
1,4,R,R
1,5,T,T
1,6,Y,Y
1,7,U,U
1,8,I,I
1,9,O,O
1,10,P,P
1,11,LBKT,Left Bracket
1,12,RBKT,Right Bracket
1,13,BSLS,Backslash
1,14,INS,Insert
1,15,HOME,Home
1,16,PGUP,Page Up
1,17,NLCK,Num Lock
1,18,KPSLS,Num /
1,19,KP_9,Num 9
1,20,KP_8,Num 8
1,21,KP_7,Num 7
1,22,KP_MINUS,Num -
1,23,KP_4,Num 4
1,24,KP_5,Num 5
1,25,KP_6,Num 6
1,26,KP_PLUS,Num +

# Row 2 - Home Row (Caps, A-L, ;, ', Enter)
2,0,CAPS,Caps Lock
2,1,A,A
2,2,S,S
2,3,D,D
2,4,F,F
2,5,G,G
2,6,H,H
2,7,J,J
2,8,K,K
2,9,L,L
2,10,SEMICOLON,Semicolon
2,11,QUOTE,Single Quote
2,12,RET,Enter
2,13,DEL,Delete
2,14,END,End
2,15,PGDN,Page Down
2,16,KP_ASTERISK,Num *
2,17,KP_1,Num 1
2,18,KP_2,Num 2
2,19,KP_3,Num 3
2,20,KP_EQUAL,Num (near 0)
2,21,KP_0,Num 0
2,22,KP_DOT,Num .

# Row 3 - Modifiers Row (LShift, Z-M, ,, ., /, RShift)
3,0,LSHIFT,Left Shift
3,1,Z,Z
3,2,X,X
3,3,C,C
3,4,V,V
3,5,B,B
3,6,N,N
3,7,M,M
3,8,COMMA,Comma
3,9,DOT,Period
3,10,FSLASH,Forward Slash
3,11,RSHIFT,Right Shift
3,12,UP,Arrow Up
3,13,KP_PLUS,Num +
3,14,KP_DOT,Num .

# Row 4 - Bottom Row (LCtrl, Win, LAlt, Space, RAlt, Fn/Meta, RCtrl, Arrows)
4,0,LCTRL,Left Ctrl
4,1,LGUI,Left Win/Meta
4,2,LALT,Left Alt
4,3,SPACE,Spacebar
4,4,RALT,Right Alt
4,5,RCTRL,Right Ctrl
4,6,LEFT,Arrow Left
4,7,DOWN,Arrow Down
4,8,RIGHT,Arrow Right
